rank,surname,name,year,club,points
106,MERMILLOD,Alban,1987,RILLIEUX LP,5799.80
107,GIRAULT,Elias,2002,ORLEANS CE,5669.85
108,CUSTINE,Jeremy,2003,TARBES ATE,5669.22
109,GIRAULT,Evann,2004,ORLEANS CE,5587.99
110,BLASCO,Pierre,2002,PAU SECTION,5534.54
113,ROCHET,Armand,2003,ORLEANS CE,5224.85
115,JOOMRATUN,Noorman,1998,MAISONS ALF,5069.63
116,DRAPIER,Nicolas,1999,ORLEANS CE,5014.55
117,LAVISSE,Matthieu,2001,LOUVIERS CE,4957.98
118,COURBIER,Hippolyte,1997,CLAMART CE,4929.46
120,THEVENET,Guillaume,1998,STRASBOURG U,4808.60
121,RAMEZ,Guillaume,1998,MEYLAN SE,4763.08
122,SAMANDI,Hichem,1986,ROUBAIX CE,4684.24
124,LAHILLE,Theo,2004,TARBES ATE,4613.68
125,BERTINI,Marc,2000,CHARENTON,4522.46
126,LACROIX,Jordan,1994,AULNAY CE,4516.95
127,LACAZE,Alexandre,2003,ORLEANS CE,4487.98
128,SANS,Oscar,2002,TARBES ATE,4434.45
129,LITTNER,Eloi,1997,CLAMART CE,4428.05
130,PALLU,Julien,1999,CLAMART CE,4391.00
131,LENOIR MILLOT,Adrien,1993,MAI LAFFITTE,4304.73
132,RAYMOND,Florian,1993,JOUE TOURS,4211.84
133,BAZADZE,Beka,1989,ORLEANS CE,4143.63
134,GITTON,Robin,2003,MEYLAN SE,4086.79
135,CLOGENSON,Bastien,1994,GISORS 3A,4070.32
136,JACQUARD,Nicolas,1983,BESANCON UC,3998.40
137,HEATHCOCK,Antonio,2002,ORLEANS CE,3942.93
138,SCHNEIDER,Maxime,2002,GEMENOS,3937.21
139,HARENDARCZYK,Nathan,1998,AULNAY CE,3927.40
140,JORGE,Edwin,1999,CHARENTON,3857.30
142,LE ROUX,Malo,2000,MEYLAN SE,3818.48
143,XXXXX,XXXXX,XXXXX,LOUVIERS CE,3816.52
144,HADDOUCHI,Ilyes,2004,ORLEANS CE,3776.58
145,ROSE,Cylian,2004,ORLEANS CE,3773.15
146,TAILLANDIER,Guislain,1987,PARIS USM,3719.67
147,MADRIGAL,Santiago,2004,GEMENOS,3665.68
148,MENISSIER,Cedric,1999,CHARLEVILLE,3656.93
149,ESPINAS,Thybaut,2000,RCS 26,3527.74
150,VINCENT,Arthur,1991,MEYLAN SE,3519.41
151,ROYER,Emeric,1998,GISORS 3A,3454.23
152,GIACOBBO,Remy,1998,PARIS USM,3332.54
153,SEVIN,Paul,1996,CHARENTON,3302.84
154,DROUET,Thomas,1971,MEYLAN SE,3263.12
155,COUDERC,Tom,2006,CHARLEVILLE,3255.28
156,SABIR,Sufyann,1990,PARIS RCF,3221.13
157,SHU GESTIN,Marc Antoine,1997,AUZEVILLE ST,3139.26
158,PARTEEK,Parteek,2000,ORLEANS CE,3123.17
159,MILLET,Damien,1982,CHATOU,3078.35
160,FREGONESE,Corentin,2000,RILLIEUX LP,3035.14
161,HEBRA,Noah,2004,TARBES ATE,2994.07
162,SALLES,Nicolas,1996,CLAMART CE,2958.49
163,DUBOURTHOUMIEU,Robin,1992,CLAMART CE,2899.51
164,HURDUBAI,Paul Bogdan,1984,JOUE TOURS,2886.77
165,GILLES,Niels,2000,GISORS 3A,2841.15
166,FERNANDEZ BLANCO,Oscar,1998,TARBES ATE,2828.81
167,SEBBAR,Franchesco,2000,ORLEANS CE,2783.39
168,WAHNERT,Cyprien,2004,STRASBOURG U,2767.47
169,VINCENZOTTO,Quentin,1993,PAU SECTION,2726.23
171,BORDIER,Max,2001,PARIS RCF,2669.65
172,COSTE,Loïc,1988,ST DIZIER,2629.89
173,PORTE,Victor,1997,CLAMART CE,2558.18
174,PIDHORZ,Florian,1993,RILLIEUX LP,2545.86
175,HUGO,Charles,1988,PARIS RCF,2515.71
176,ROY,Ilian,2002,GEMENOS,2459.95
178,LE BRIZAUT,Leopold,2000,NANTES ERNM,2448.89
179,HERNANDEZ CABALLERO,Andres,1996,TARBES ATE,2399.34
180,JOHSUA,Basile,2003,MEYLAN SE,2397.66
181,REICHEN,Tristan,2000,NANTES ERNM,2395.04
182,DEL MONACO,Arthur,1999,RCS 26,2370.02
183,GROSSE,Antonin,2002,MEYLAN SE,2353.94
184,DUVERE,Robin,1999,GISORS 3A,2341.71
185,PEQUIGNOT,Antoine,1987,AUZEVILLE ST,2314.73
186,BLOIN,Bertrand,1978,MAISONS ALF,2288.88
187,GONZALEZ,Joaquim,2000,BIEVRE ISERE,2287.44
188,GLORIOT,Donat,1998,BESANCON UC,2287.10
190,ANNIC,Josselin,1991,NANTES ERNM,2236.54
191,CASTELLANOS,Cuauhtemoc,1984,PARIS USM,2184.70
192,GOURDAIN,Antoine,2004,GISORS 3A,2160.02
193,BERTOLLE,Clement,1989,SEYSSINS,2149.44
194,MAIRI,Anis,1998,CHARENTON,2144.29
195,MAURON,Antoine,1996,GIF SUR YVET,2124.16
196,LASSERRE,Tristan,1998,RCS 26,2082.43
197,SPINNER,Quentin,2004,STRASBOURG U,2053.46
