rank,surname,name,year,club,points
1,GARRIGUE,Remi,2004,ORLEANS CE,13984.41
2,KUZMIN,Leon,2002,CHARLEVILLE,13970.88
3,COUDERC,Tom,2006,CHARLEVILLE,12546.64
4,FRABOULET,Evan,2003,ORLEANS CE,12238.93
5,GUILLEY,Lucas,2005,CHARLEVILLE,12145.92
6,JALABERT,Guilhem,2002,PAU SECTION,10966.99
7,POGU,Antoine,2002,TARBES ATE,10829.79
8,DUCERF,Benjamin,2004,ORLEANS CE,10528.95
9,HEATHCOCK,Antonio,2002,ORLEANS CE,10100.00
10,KLEIN,Pierre,2002,ORLEANS CE,10082.90
11,BLASCO,Pierre,2002,PAU SECTION,10064.99
12,ROCHET,Armand,2003,ORLEANS CE,9882.03
13,CUSTINE,Jeremy,2003,TARBES ATE,9404.86
14,MOUALOANGO,Yan,2005,MEYLAN SE,9031.53
15,HEBRA,Noah,2004,TARBES ATE,8786.68
16,NEUHAUSER,Marc,2004,CHARLEVILLE,7888.12
17,GOURDAIN,Antoine,2004,GISORS 3A,7825.32
18,LATAPY,Ugo,2003,PAU SECTION,7587.57
19,BISCH,Jean Hutmann,2004,ORLEANS CE,7584.58
20,BAYSAL,Remy,2006,ORLEANS CE,7387.98
21,POGU,Axel,2005,TARBES ATE,7373.09
22,GIRAULT,Evann,2004,ORLEANS CE,7326.87
23,DRUILHET,Diego,2004,TARBES ATE,7281.48
24,GIRAULT,Elias,2002,ORLEANS CE,7121.45
25,SCELLES,Guillaume,2005,ORLEANS CE,6959.31
26,HOSPITAL,Aurélien,2003,BOURGES ESC,6772.27
27,HEATHCOCK,Colin,2005,ORLEANS CE,6581.88
28,GUYONNAUD,Albin,2004,PAU SECTION,6183.34
29,WEBER,Jean Nicolas,2002,STRASBOURG U,6169.10
30,BERGER,Noe,2003,GEMENOS,6075.85
31,GAUDIN,Henri,2002,TARBES ATE,5679.93
32,LAHILLE,Theo,2004,TARBES ATE,5515.54
33,GITTON,Robin,2003,MEYLAN SE,5492.58
34,HAZART,Gabriel,2002,PARIS RCF,5483.09
35,HADDOUCHI,Ilyes,2004,ORLEANS CE,5425.80
36,PRIGENT,Basile,2003,ORLEANS CE,5086.68
37,LEFORT,Maxence,2004,MAISONS ALF,4934.66
38,LACAZE,Alexandre,2003,ORLEANS CE,4724.00
39,SCHNEIDER,Maxime,2002,GEMENOS,4591.12
40,SANS (FR),Oscar,2002,TARBES ATE,4180.39
41,MOLLER,Theo,2003,PARIS RCF,3966.34
42,GROSSE,Antonin,2002,MEYLAN SE,3838.74
43,ROSE,Cylian,2004,ORLEANS CE,3820.51
44,RUEZ,Felix,2004,PAU SECTION,3649.27
45,BAYLAC,Baptiste,2005,TARBES ATE,3579.04
46,FREMAU,Samuel,2005,GIF SUR YVET,3552.14
47,MIQUEU,Nolann,2004,PAU SECTION,3445.98
48,MARUELLE,Francois,2003,DINARD LAMES,3337.22
49,XXXXX,XXXXX,XXXXX,PARIS RCF,3246.03
50,MARCHAL,Bertrand,2004,CHARLEVILLE,3158.06
51,CHOUEIRY,Michel,2007,CHARENTON,3145.95
52,FIDRY,Léo,2005,PARIS RCF,3141.10
53,FLAUD,Victor,2004,GISORS 3A,2890.58
54,PROSSE,Nand,2004,ROUBAIX CE,2789.05
55,BAUDET-JOYEUX,Tim,2004,TARBES ATE,2593.54
56,CABANAC,Guillaume,2005,TARBES ATE,2583.08
57,JOHSUA,Basile,2003,MEYLAN SE,2529.79
58,GANASCIA-LIN,Guillaume,2006,ORLEANS CE,2497.94
59,TRUTT,Gaetan,2006,CHARLEVILLE,2342.28
60,SANS,Oscar,2002,TARBES ATE,2223.51
61,CLEMENT,Mathis,2004,MEYLAN SE,2060.12
62,VALLET,Pierre,2005,ORLEANS CE,2031.92
63,DE LAZZER,Liam,2004,THIONVILLE,1929.71
64,ROCHE,Antonin,2003,RCS 26,1882.28
65,HENON SAYAH,Mahe,2006,MEYLAN SE,1836.85
66,PALMOLUNGO,Alessandro,2006,PARIS RCF,1781.72
67,JEANSON,Nathan,2005,JOUE TOURS,1752.27
68,FAURE,Antonin,2004,GIF SUR YVET,1730.86
69,THOME,Simon,2004,CHARLEVILLE,1663.33
70,WOUTERS,Tom,2004,CERGY CE,1660.51
71,WINANDY-PROUST,Nathaël,2004,JOUE TOURS,1637.82
72,ANTOINE PAISANT,Gabriel,2006,JOUE TOURS,1613.02
73,THOMAS,Leo,2006,ORLEANS CE,1605.53
74,STEVERLYNCK,Mateo,2005,GISORS 3A,1588.98
75,DUGUE,Antonin,2005,ORLEANS CE,1505.30
76,HORAUD,Thomas,2006,MEYLAN SE,1390.19
77,ROBBE MARTINEZ,Ulysse,2006,ORLEANS CE,1186.79
78,LOTMANI,Sofiane,2005,BOURGES ESC,1184.59
79,SPINNER,Quentin,2004,STRASBOURG U,1166.74
81,LE GOFF,Constant,2005,MEYLAN SE,1089.38
82,WAHNERT,Cyprien,2004,STRASBOURG U,1058.90
83,FERAL,Loic,2002,GEMENOS,941.71
84,MYSIOREK,Nathan,2005,THIONVILLE,908.83
85,SALVAT,Adrien,2004,CHARENTON,876.45
86,ROUVIERE,Paul,2006,MAISONS ALF,854.17
87,MENARD,Soen,2005,ANGERS SCO,782.08
88,COME,Guilhem,2004,RILLIEUX LP,773.76
89,BUREAU,Elio,2006,MEYLAN SE,734.48
90,TAURUS,Yanis,2002,CLAMART CE,721.35
91,NEVEU,Nathan,2003,GISORS 3A,657.67
92,ERMINE,Guillaume,2003,CHATEAUBRIAN,604.74
93,HULIN,Charles,2004,RCS 26,583.09
94,PONS,Matteo,2005,MAISONS ALF,521.19
95,SIERRO,Philippe,2004,GISORS 3A,494.04
96,VERDIER,Lilian,2004,CHARLEVILLE,479.11
97,ROPERT,Pierre,2005,ANGERS SCO,440.72
98,GARNIER DENIS,Paul,2002,LE MANS CE,440.57
99,LECHATELLIER,Marius,2005,ANGERS SCO,440.12
100,RUBY CECHETTI,Timéo,2007,CHARENTON,432.97
101,TORI,Maximilien,2006,CHARENTON,414.54
102,CERASI,Liam,2005,ANNECY,405.58
103,MEVEL,Arthur,2006,CHARENTON,388.67
104,ROUSSELOT,Tom,2004,JOUE TOURS,337.84
105,ROY,Ilian,2002,GEMENOS,312.85
106,MARTIN,Yann,2002,AMIENS CEAM,263.73
107,GARRIGUES,Marius,2006,JOUE TOURS,215.68
108,AUGUSTE,Antonin,2006,DINARD LAMES,207.57
109,LELIEVRE,Lothaire,2005,BORDEAUX CAM,192.05
110,BERNARD-COQUARD,Arthur,2006,ST JEAN RUEL,176.00
111,DEVILLERS,Léo,2004,AMIENS CEAM,168.67
112,LIRZIN,Mathieu,2002,AMIENS CEAM,122.65
113,BERTRAND,Theo,2004,ARBOIS CEATO,114.00
114,GORLA,Morgan,2004,ANNECY,100.00
