rank,surname,name,year,club,points
108,BESSET,Jean Charles,1982,TRAPPES EC,7065.64
109,FERJANI,Mohamed Ayoub,1986,TRAPPES EC,6973.91
111,LECORNIER,Flavien,1988,COURBEVOIE,6849.44
112,GARNIER,Fabrice,1981,BLR92,6829.90
113,BONNEVILLE,Ludovic,1992,SGLP ESCRIME,6733.32
114,VIELCANET,Jeremy,1988,MELUN VDS,6658.62
115,TOURNEUR,Ivan,1998,MEUNG LOIRE,6532.18
116,ESNOUX,Augustin,2001,PARIS TA,6415.27
117,CLAIRET,Dimitri,1985,PARIS TA,6255.20
118,DRONSART,Aubin,1997,MELUN VDS,6237.30
119,NKENE,Cedric,1993,TRAPPES EC,6213.62
120,GUILLEMIN,Thibault,2004,LYON SE,6205.83
121,LEGRAND,Jean,1990,RENNES ERM,6014.35
122,OBRECHT,Alexis,1997,HENIN BEAUM,5961.02
123,HERRMANN,Amaury,2000,PARIS NORD,5943.19
124,CALMON,Thomas,1992,NANTES NEC,5892.54
125,SCHULLER,Guillaume,2000,HENIN BEAUM,5867.55
126,DOPPIA,Sylvain,2002,BLR92,5858.51
127,DELGAL,Paul,2001,ANTONY,5793.75
128,ROGER,Enguerand,1997,TEAM FLEURET,5718.35
129,SOULIER,Hugo,2001,LYON SE,5677.30
130,GOUPILLON,Titouan,2000,TEAM FLEURET,5665.67
131,PERRIN,Camille,1993,PARIS RCF,5533.32
132,DACQUIN,Matthieu,1987,MEAUX CE,5521.51
133,BAUMSTARK,Martin,1995,LYON SE,5456.82
134,THIVEL,Quentin,1997,ANTONY,5432.89
135,BIRD,Harry,1998,BLR92,5431.48
136,COMMEUREUC,Benjamin,1993,AUBERVILLIER,5365.88
137,BRANCOURT,Thomas,1998,REIMS CE,5311.46
138,BENETEAU,Mickael,1993,PARIS TA,5285.90
139,BESSY,Alexis,2003,SGLP ESCRIME,5259.52
140,PETIOT,Sebastien,1994,LAGNY MARNE,5150.87
141,METOUI,Mohamed Aziz,1998,BLR92,5139.03
142,LOTTIN,Maxence,1999,MELUN VDS,5129.36
143,LANUSSE,Yann,1999,BORDEAUX EC,5052.74
144,SELLIN,Hugo,2003,MELUN VDS,4991.08
145,GOSSELIN,Mathieu,1981,PARIS TA,4902.64
146,CIROTTEAU GUYOT,Vincent,1989,ANTONY,4841.03
147,WAKIM,Philippe,2000,PARIS NORD,4829.10
148,MERLIER,Arthur,1989,ROUEN CE,4800.28
149,DESVAUX,Clement,1986,PARIS CEP,4756.54
150,ASSELOT,Vincent,1972,RUEIL MALMAI,4687.55
151,LE METAYER,Morgan,1985,VANDOEUVRE,4660.16
152,MARTINS,Clement,2002,BLR92,4643.45
153,GALISSANT,Pierre Andre,1999,MEAUX CE,4643.13
154,LANUSSE,Henri,1999,BORDEAUX EC,4475.53
155,DU PONT DE ROMEMONT,Edgar,2000,PARIS NORD,4471.66
156,GRAJALES MENA,Miguel Angel,2001,PARIS NORD,4400.24
157,LE LEUCH,Louis,1998,ISSY MOUSQUE,4370.48
158,TREPO,Eric,1981,LYON SE,4366.65
159,GALY,Maxime,1999,BAYONNE AVIR,4364.26
160,PONTHONNIER,Borris,1990,SENLIS 3A,4343.96
161,JABOUILLE,Mathys,2000,CHAMBERY CE,4340.26
162,ABIDI,Neil,2003,PARIS CEP,4315.40
163,LESCHIERA,Maxence,2002,BLR92,4301.16
164,STUTZMANN,Guillaume,1999,RUEIL MALMAI,4199.57
165,BRISSY,Martin,2003,VILLE AVRAY,4118.28
166,GERARDIN,Philibert,2002,PARIS NORD,4108.66
167,SOLIVELLAS,Guillaume,1998,MELUN VDS,4105.66
168,MABIKA,Maxence,1998,MELUN VDS,4079.33
169,FINCH,Samuel,1998,BLR92,4077.42
170,CHAMPEYMOND,Julien,1984,LYON MDF,4016.00
171,CLAQUIN,Loukian,2002,NANTES NEC,4006.51
172,LE RIGOLEUR,Damien,2000,BLR92,3926.65
173,KERYHUEL,Jeremy,1994,SGLP ESCRIME,3866.58
174,CORBERAND,Amaury,2004,CABRIES OC,3788.79
175,SIMON,Emmanuel,1986,ISSY MOUSQUE,3746.03
176,RIANO TORRES,Jesus,1988,MELUN VDS,3591.59
177,PRADEL,Louis,2005,LYON SE,3561.92
178,LARDY,Gautier,2003,LYON SE,3522.44
179,BESNAULT,Jean Charles,2004,MEAUX CE,3469.83
181,ALAVOINE,Bastien,1989,HENIN BEAUM,3372.23
182,CHAUMARTIN,Aristhé,2001,MURET CE,3363.74
183,SOYER,Martin,1993,VILLE AVRAY,3363.46
184,BECKER,Patrice,1968,BLR92,3362.54
185,TURCHI,Kenzo,2003,CABRIES OC,3336.63
186,LEFEBVRE,Loick,2001,HENIN BEAUM,3275.10
187,BAUM,Hadrien,1990,COURBEVOIE,3267.58
188,DAGREOU,Mathieu,1996,PARIS NORD,3258.96
189,RIBON,Axel,2000,MENNECY,3253.07
190,CALZI,Mathieu,1989,CABRIES OC,3175.32
191,ADAM,Maxime,2002,PAYS AIX,3166.03
192,CHASSIN,Matthieu,2000,ANGOULEME,3144.58
193,MANNEVILLE,Thibault,1991,RENNES ERM,3143.51
194,GRZELEZAK,Sacha,1999,LYON SE,3131.97
195,LEROUGE,Frederic,1983,CABRIES OC,3119.51
196,VAVOUIL,Raphael,2003,VAUZELLES EC,3117.72
197,JACOB VILLEDIEU,Jules,2000,PARIS TA,3109.65
198,DE GREEF,Stef,1998,NICE OGC,3095.03
199,BESSY,Hugo,2001,SGLP ESCRIME,3086.46
200,VILLEFRANQUE,Orion,1989,PARIS TA,3067.39
201,BONNET,Adrien,2003,ANTONY,3060.58
202,BERISSON,Nathan,2003,MURET CE,3049.44
203,DEUVE,Barnabe,1993,VILLE AVRAY,3039.22
204,HELMY-COCOYNACQ,Adrien,2005,PARIS CEP,2943.99
205,PAYELLE,Theophane,2002,HENIN BEAUM,2943.38
206,BARON,Alexis,1993,PARIS TA,2941.82
207,GROSSMANN,Thomas,1999,VILLE AVRAY,2940.13
208,PEIGNIER,Titouan,1996,CABRIES OC,2933.85
209,KLEINCLAUS,Jules,2000,COMBS VILLE,2912.35
210,DELIGNE,Remi,1996,ISSY MOUSQUE,2895.42
211,DELORT,Jean Baptiste,1984,PARIS RCF,2882.81
212,VARAGNAT,Matthieu,1983,ANTONY,2856.24
213,ELUSUE,Geoffrey,2001,LYON SE,2823.93
214,BOURREAU,Flavien,1999,SABLE SARTHE,2802.62
215,KISS,Daniel,1998,PARIS AS NAT,2801.53
216,LE TALLEC,Joachim,1994,NANTES NEC,2799.07
217,GEORGES,Henry,1973,LILLE VAUBAN,2738.16
218,FELLAH,Dani-Adam,2005,STRASBOURG E,2714.10
219,BIBRON,Axel,2004,ANTONY,2711.42
220,BROCAS,Jean,1993,MURET CE,2707.32
221,EMERY,Felix,2001,HENIN BEAUM,2686.24
222,DIERCKENS,Victor,2000,LILLE VAUBAN,2624.12
223,BEGAT,Jeremy,1997,REIMS CE,2607.28
224,CUNAT,Sabin,2002,BLR92,2567.79
225,NAPOLITANO,Vincent,1979,BLR92,2561.34
226,LANGLOIS,Julien,2002,TEAM FLEURET,2556.37
227,BERNAL,Jessy,1985,PARIS TA,2500.95
228,GRIFFON,Kilian,1995,HEROUVILLE,2466.55
229,NICOLLE,Gregoire,1996,PARIS TA,2458.96
230,GALLET,Thibault,2002,CHAMPIGNY MA,2454.87
231,FRESSIN,Jeremy,1991,SGLP ESCRIME,2444.19
232,DE BAZELAIRE,Stanislas,1986,PARIS TA,2419.47
233,BAUGER,Florent,1992,PARIS CEFC,2408.61
234,BARNIER,Camille,1985,TRAPPES EC,2407.34
235,DEJOS,Alexis,2004,TRAPPES EC,2406.35
236,GALLIN,Sylvain,1983,TRAPPES EC,2392.74
237,AUGUSTIN,Sacha,2004,MEAUX CE,2329.53
238,DEMAINE,David,1996,HEROUVILLE,2322.64
239,GUY,Jason,1995,ANTONY,2287.83
240,LACROIX,Hugo,2003,BLR92,2279.66
241,TOURNIER,Lucas,2001,LYON MDF,2255.10
242,HENRION,Flavien,2001,TORCY CE,2187.24
243,BOJU,Gwenael,1975,RUEIL MALMAI,2161.50
245,TRAVESSET,Damien,1997,MURET CE,2067.25
246,HEBEY,Maximilien,2001,ANTONY,2000.44
247,PECOT GRILL,Leo,2001,PAYS AIX,1986.94
248,MAOCEC,Baptiste,2003,MERIGNAC SE,1956.91
249,LE CORRE,Robin,1992,PARIS CEP,1943.64
251,GAINET,Simon,2001,DOLE CE,1921.28
252,GARNIER,Tom,1998,YERRES,1897.55
253,FROMBAUM,Matthieu,1983,PARIS CEP,1876.20
254,GEORGES,Jérôme,1992,NANTES NEC,1874.57
255,MOURIOUX,Robin,1997,MURET CE,1872.17
256,LANGLOIS,Thomas,2000,ANTONY,1858.04
257,CALIXTE,Aurélien,1980,DIJON MOUSQ,1806.54
258,THIMONIER,Baptiste,1992,PARIS CEP,1773.75
259,JEANJEAN,Romain,2004,ISSY MOUSQUE,1770.28
260,ONODY,Tamas,1992,VILLE AVRAY,1761.92
261,HAMON,Jonathan,2000,LYON SE,1732.09
