rank,surname,name,year,club,points
156,POTHIER LAMBERT,Theo,2006,CHALONS CHAM,452.35
157,PAPIN,Malo,2006,GRAD TALENCE,436.66
158,JEANNEY,Nathan,2005,CADETS ESSON,421.08
159,GUILLEMIN,Anthony,2006,DAX SE,405.62
160,DANARD-BELLANGER,Gabriel,2006,PARIS UC,390.28
161,VALETTE,Enzo,2006,ANNONAY CE,375.04
161,CHAMBON,Samuel,2007,VILLENEUVE L,375.04
163,YERRO,Olivier,2005,DUCOS MSQ,357.78
164,GASNIER,Julian,2006,RAMONVILLE,315.21
165,ARNAGOL-MOSTREY,Tristan,2006,MONTAUBAN,300.51
166,LEFEVRE,Clement,2005,BEAUVAIS ACA,285.92
167,EYNARD,Ewen,2007,ST MALO,257.04
168,PUCH,Corentin,2007,RAMONVILLE,242.75
169,POTHIER LAMBERT,Hugo,2006,CHALONS CHAM,228.56
170,MORIN,Matthys,2005,ANGLET SE,200.46
171,PALOSSE,Paul,2008,FORT DE F AE,183.90
172,DANION,Elouen,2005,VAUZELLES EC,172.73
173,BOUQUET,Matthieu,2006,L7T,159.01
174,PINAQUY,Imanol,2006,BAYONNE AVIR,145.38
175,THOMAS,Louis,2008,L7T,131.83
176,SOUPRAYEN,Lucas,2007,DUCOS MSQ,131.00
177,HUICHARD,Loris,2007,L7T,118.37
178,POIROT,Muyin,2008,ST MALO,105.00
